Nombre,Título Original,Versión/Subtítulo,Año,Duración,Categoría de Scoring,Instrumentación Detallada,Fecha de Estreno,Lugar de Estreno,Ciudad de Estreno,Intérpretes del Estreno,Encargos / Ayudas,Notas Adicionales
César Camarero,MUSIC FOR A LIQUID THEATER,Versión 2018,2018,13'40'',Ensemble,"fl, cl, vln, vcl, perc, pno",29-10-2019,Espacio Turina,"Sevilla, España","Zahir Ensemble, dir. Juan García Rodríguez",N/D,N/D
César Camarero,MUSIC FOR A LIQUID THEATER,-,2017,13'40'',Ensemble,"cuarteto de sax, perc, pno",13-07-2017,Conservatorio de Música de Oporto,"Oporto, Portugal",Saxensemble,N/D,Estreno en el Grande Auditorio (Congreso Mundial de Saxofón).
César Camarero,SOBRE LA SUPERFICIE DEL AGUA,-,2015,4'30'',Solo,pno,11-03-2015,Conservatorio Manuel Castillo,"Sevilla, España",Ignacio Torner,N/D,N/D
César Camarero,MONÓLOGO 3,-,2015,5',Solo,perc sola,07-10-2019,Auditorio Sonia Amelio,"México D.F., México",Baldomero Llorens,N/D,Estreno en el Festival Vértice.
César Camarero,ILUMINACIONES,-,2015,14',Ensemble,"fl, cl, sax alto, vln, vcl, perc, pno",27-04-2015,Auditorio 400 (MNCARS),"Madrid, España","Taller Sonoro, dir. Nacho Rodríguez",CNDM para Taller Sonoro,N/D
César Camarero,OPUS SECTILE,Nueva versión alternativa,2015,8'42'',Cuarteto,"fl, cl, vln, vcl",10-03-2016,Auditorio Nacional (Cámara),"Madrid, España","Plural Ensemble, dir. Lorraine Vaillancourt",N/D,N/D
César Camarero,IDÉNTICOS ANTECEDENTES,-,2015,6',Vocal,"voz femenina, fl, guit, pno",22-06-2015,Auditorio Univ. Sevilla,"Sevilla, España","Zahir Ensemble, dir. Juan García Rodríguez",N/D,Poema de Aurelio José Laguerre.
César Camarero,OPUS SECTILE,Nueva versión,2014,8'42'',Cuarteto,cuarteto de sax,N/D,N/D,N/D,N/D,N/D,N/D
César Camarero,ACCIÓN Y DISOLUCIÓN...,-,2014,6',Ensemble,1 pno a 5 pianistas,N/D,N/D,N/D,N/D,N/D,"Título: ""...de pliegues verticales""."
César Camarero,ENTREACTO Y LUZ MAGENTA,-,2014,9',Orquesta,orquesta,17-12-2014,Auditorio ETS Ingeniería,"Sevilla, España","OSC, dir. Juan García Rodríguez",N/D,N/D
César Camarero,ENTREACTO,-,2014,9',Solo,aco,22-03-2014,Fundación Juan March,"Madrid, España",Ángel Luis Castaño,N/D,N/D
César Camarero,MÚSICA PARA CONTEMPLAR LA EVOLUCIÓN DE UNA OLA...,-,2012,17',Ensemble,"fl, cl, vln, vcl, pno",12-2012,Sala Joaquín Turina,"Sevilla, España","Plural Ensemble, dir. Fabián Panisello",INAEM para Plural Ensemble,"Título: ""...a cámara lenta"". Estreno en Encuentros de Ensembles."
